NameKey,IndirectName,URI,FSUID
DewarW,"Dewar, William K.",http://id.loc.gov/authorities/names/n86821329,wdewar
DickensT,"Dickens, Tarik",https://authorities.lib.fsu.edu/etd-naf/tjd02c,tjd02c
DillingJ,"Dilling, Janet",http://id.loc.gov/authorities/names/no2009118349,jdilling
DmitrievM,"Dmitriev, Mikhail I.",https://authorities.lib.fsu.edu/etd-naf/mdmitriev,mdmitriev
DoanP,"Doan, Petra L.",http://id.loc.gov/authorities/names/n2011027206,pdoan
DobrosavljevićV,"Dobrosavljević, Vladimir",http://id.loc.gov/authorities/names/nb2012017661,vdobrosa
DoelR,"Doel, Ronald Edmund",http://id.loc.gov/authorities/names/nr90000461,rdoel
DongS,"Dong, Shengli",https://authorities.lib.fsu.edu/etd-naf/sdong3,sdong3
DonoghueJ,"Donoghue, Joseph F.",http://id.loc.gov/authorities/names/no2005037291,jfdonoghue
DoorenP,"Dooren, Paul van",http://id.loc.gov/authorities/names/n88241631,pvdooren
DorseyJ,"Dorsey, John G.",https://authorities.lib.fsu.edu/etd-naf/dorsey,dorsey
DowellK,"Dowell, Kristin L.",http://id.loc.gov/authorities/names/n2013033964,kdowell
DozierV,"Dozier, V. Casey",https://authorities.lib.fsu.edu/etd-naf/vcj02d,vcj02d
DrakeJ,"Drake, Jamil William",https://authorities.lib.fsu.edu/etd-naf/jdrake,jdrake
DrewJ,"Drew, John Robert",http://id.loc.gov/authorities/names/no2008046845,jdrew
DriscollA,"Driscoll, Amanda M.",https://authorities.lib.fsu.edu/etd-naf/adriscoll,adriscoll
DriscollK,"Driscoll, Kimberly A.",http://id.loc.gov/authorities/names/n2003106882,kab8269
DriscollM,"Driscoll, Marcy Perkins",http://id.loc.gov/authorities/names/n87892850,mdriscoll
DuJ,"Du, James",https://authorities.lib.fsu.edu/etd-naf/jdu3,jdu3
DuValE,"DuVal, Emily H.",https://authorities.lib.fsu.edu/etd-naf/eduval,eduval
DudleyG,"Dudley, Gregory B.",https://authorities.lib.fsu.edu/etd-naf/gdudley,gdudley
DukeD,"Duke, D. W.",http://id.loc.gov/authorities/names/n82011479,dduke
DukhovskoyD,"Dukhovskoy, Dmitry",http://id.loc.gov/authorities/names/no2004054937,ddukhovskoy
DulebenetsM,"Dulebenets, Maxim A.",https://authorities.lib.fsu.edu/etd-naf/mdulebenets,mdulebenets
DumlavwallaD,"Dumlavwalla, Diana Teresa",https://authorities.lib.fsu.edu/etd-naf/ddumlavwalla,ddumlavwalla
DuncanM,"Duncan, Michael Douglas",http://id.loc.gov/authorities/names/no2015057682,mdduncan
DunniganP,"Dunnigan, Patrick",http://id.loc.gov/authorities/names/n99036353,ddunnigan
Dupuigrenet DesroussillesF,"Dupuigrenet Desroussilles, François",http://id.loc.gov/authorities/names/n87808890,
EastonP,"Easton, Peter",https://authorities.lib.fsu.edu/etd-naf/easton,easton
EbenerD,"Ebener, Deborah J.",https://authorities.lib.fsu.edu/etd-naf/debener,debener
EbersteinI,"Eberstein, Isaac W.",http://id.loc.gov/authorities/names/n88644797,ieberstn
EckelL,"Eckel, Lisa A.",https://authorities.lib.fsu.edu/etd-naf/eckel,eckel
EdringtonC,"Edrington, Christopher S.",https://authorities.lib.fsu.edu/etd-naf/cedrington,cedrington
EdwardsL,"Edwards, Leigh H.",http://id.loc.gov/authorities/names/n2008050923,ledwards
EfimovN,"Efimov, Nina A.",http://id.loc.gov/authorities/names/n98044476,nefimov
EhrlichS,"Ehrlich, Sean D.",http://id.loc.gov/authorities/names/n2011009012,sehrlich
ElsnerJ,"Elsner, James B.",http://id.loc.gov/authorities/names/n96096627,jelsner
EmmersonR,"Emmerson, Richard Kenneth",http://id.loc.gov/authorities/names/n80155334,remmerson
EpsteinA,"Epstein, Andrew",http://id.loc.gov/authorities/names/no2006094000,aepstein
EricksonG,"Erickson, Gregory M.",https://authorities.lib.fsu.edu/etd-naf/gerickson,gerickson
EricssonA,"Ericsson, Anders",http://id.loc.gov/authorities/names/n83130196,kericsson
ErlebacherG,"Erlebacher, Gordon",http://id.loc.gov/authorities/names/n87121729,gerlebacher
ErndlK,"Erndl, Kathleen M.",http://id.loc.gov/authorities/names/n91126639,kerndl
EugenioP,"Eugenio, Paul Michael",http://id.loc.gov/authorities/names/no2006102568,peugenio
EverhartN,"Everhart, Nancy",http://id.loc.gov/authorities/names/n86011527,neverhar
EyerlyS,"Eyerly, Sarah",http://id.loc.gov/authorities/names/no2013006835,seyerly
FadoolD,"Fadool, Debra Ann",https://authorities.lib.fsu.edu/etd-naf/dfadool,dfadool
FadoolJ,"Fadool, James M.",https://authorities.lib.fsu.edu/etd-naf/jfadool,jfadool
FahimA,"Fahim, Arash",https://authorities.lib.fsu.edu/etd-naf/afahim,afahim
FajerP,"Fajer, Piotr G.",https://authorities.lib.fsu.edu/etd-naf/fajer,fajer
FarrisD,"Farris, David W.",https://authorities.lib.fsu.edu/etd-naf/dwfarris,dwfarris
FaruqueM,"Faruque, Md Omar",https://authorities.lib.fsu.edu/etd-naf/faruque,faruque
FaulkB,"Faulk, Barry J.",http://id.loc.gov/authorities/names/n2004040106,bfaulk
FayD,"Fay, Daniel F.",https://authorities.lib.fsu.edu/etd-naf/dfay,dfay
FeiockR,"Feiock, Richard C.",http://id.loc.gov/authorities/names/n00087303,rfeiock
FelknerJ,"Felkner, John",https://authorities.lib.fsu.edu/etd-naf/jfelkner,jfelkner
FendlerR,"Fendler, Rachel Loveitt",http://viaf.org/viaf/1152380012501761724,rfendler
FengJ,"Feng, Jian",https://authorities.lib.fsu.edu/etd-naf/feng,feng
FenleyS,"Fenley, Sérgio Roberto",http://id.loc.gov/authorities/names/nr89009671,sfenley
FentonK,"Fenton, Kevin",http://id.loc.gov/authorities/names/no2008057519,kfenton
FerchaudA,"Ferchaud, Arienne",https://authorities.lib.fsu.edu/etd-naf/aferchaud,aferchaud
FernándezR,"Fernández, Roberto G.",http://id.loc.gov/authorities/names/n84022192,rfernandez
FerrisG,"Ferris, Gerald R.",http://id.loc.gov/authorities/names/n81100790,gferris
FinchamF,"Fincham, Frank D.",http://id.loc.gov/authorities/names/n83135439,ffincham
FioritoJ,"Fiorito, Jack Thomas",http://id.loc.gov/authorities/names/no2004078723,jfiorito
FishburneK,"Fishburne, Kenan A.",https://authorities.lib.fsu.edu/etd-naf/kfishburne,kfishburne
FisherD,"Fisher, Douglas L.",https://authorities.lib.fsu.edu/etd-naf/dfisher,dfisher
FleckensteinK,"Fleckenstein, Kristie S.",http://id.loc.gov/authorities/names/n2001108549,kfleckenstein
FlorianJ,"Florian, John P.",https://authorities.lib.fsu.edu/etd-naf/jflorian,jflorian
FlynnH,"Flynn, Heather A.",https://authorities.lib.fsu.edu/etd-naf/hflynn,hflynn
FolchD,"Folch, David C.",https://authorities.lib.fsu.edu/etd-naf/dfolch,dfolch
FolsteinJ,"Folstein, Jonathan R.",https://authorities.lib.fsu.edu/etd-naf/folstein,folstein
FooS,"Foo, Simon Y.",https://authorities.lib.fsu.edu/etd-naf/foo,foo
FoormanB,"Foorman, Barbara R.",http://id.loc.gov/authorities/names/n85223578,bfoorman
