050	100	245	502	650	856	904
RC321	Ryan, Jonathan (Jonathan S.), author	Implementing Intermittent Theta-Burst Stimulation to Modulate the Reward Positivity via the Rostromedial Prefrontal Cortex / by Jonathan Ryan	Ph.D. Florida State University 2022.	Neurosciences	https://purl.lib.fsu.edu/diginole/2022_Summer_Ryan_fsu_0071E_17353	0
RC466.8	Santopetro, Nicholas (Nicholas J.), author	Cross-Sectional Relationship between Doors P300 Amplitude and Depressive Symptoms during Adolescence / by Nicholas Santopetro	M.S. Florida State University 2022.	Clinical psychology	https://purl.lib.fsu.edu/diginole/2022_Summer_Santopetro_fsu_0071N_17182	0
BF	Schafer, Katherine Musacchio, author	Reducing Suicidal Ideation by Targeting Perceived Burdensomeness : A Randomized Control Trial / by Katherine Musacchio Schafer	Ph.D. Florida State University 2022.	Psychology	https://purl.lib.fsu.edu/diginole/2022_Summer_Schafer_fsu_0071E_17289	0
ML3797	Shapiro, Rachel Lynn, author	Nineteenth-Century American Female Seminary Schools and Their Influence on American Music Education / by Rachel Lynn Shapiro	M.M. Florida State University 2022.	Music	https://purl.lib.fsu.edu/diginole/2022_Summer_Shapiro_fsu_0071N_17251	0
LB2326.3	Shenberger, Michaela A. (Michaela Ann), author	Undergraduate Student Activism and Engagement in the Leadership Process / by Michaela A. Shenberger	Ph.D. Florida State University 2022.	Education, Higher	https://purl.lib.fsu.edu/diginole/2022_Summer_Shenberger_fsu_0071E_17260	0
QA10.92	Smith, Jessica L. (Jessica Lynn), author	Student Reasoning, Argumentation, and Positioning Relative to Identity in Inquiry-Oriented Undergraduate Mathematics / by Jessica L. Smith	Ph.D. Florida State University 2022.	Mathematics	https://purl.lib.fsu.edu/diginole/2022_Summer_Smith_fsu_0071E_17333	0
QP303	Sokolowski, Chester (Chester Michael), author	The Relationship among Binge Drinking, Musculoskeletal Health, Physical Performance, and Cognitive Wellness in Young Adult Females / by Chester Sokolowski	Ph.D. Florida State University 2022.	Kinesiology	https://purl.lib.fsu.edu/diginole/2022_Summer_Sokolowski_fsu_0071E_17375	0
HB1	Solimine, Philip, author	Economic Behavior in Dynamic Networks / by Philip Solimine	Ph.D. Florida State University 2022.	Economics	https://purl.lib.fsu.edu/diginole/2022_Summer_Solimine_fsu_0071E_17323	0
QC	Stalpes, Kye Alexander, author	A Galaxy in a Box : Understanding Our Universe through Numerical Simulations / by Kye Alexander Stalpes	Ph.D. Florida State University 2022.	Physics	https://purl.lib.fsu.edu/diginole/2022_Summer_Stalpes_fsu_0071E_17327	0
TK145	Thomas, Rajesh, author	Computing Transforms Using Their Eigenstructure / by Rajesh Thomas	Ph.D. Florida State University 2022.	Electrical engineering	https://purl.lib.fsu.edu/diginole/2022_Summer_Thomas_fsu_0071E_17387	0
P301	Tibedo, Vanessa Penny (Vanessa Penny), author	Exploring Rhetorical Consequences of Mixed Race Identity in Nineteenth Century Us Society / by Vanessa Penny Tibedo	M.A. Florida State University 2022.	Rhetoric	https://purl.lib.fsu.edu/diginole/2022_Summer_Tibedo_fsu_0071N_17291	0
J	Vlasenko, Anastasiia, author	Electoral Effects of Institutional Reforms : Evidence from Ukraine and Russia / by Anastasiia Vlasenko	Ph.D. Florida State University 2022.	Political science	https://purl.lib.fsu.edu/diginole/2022_Summer_Vlasenko_fsu_0071E_17362	0
QA76.27	Wang, Zi, author	Towards Ubiquitous User Authentication and Sensing Based on the Ear Canal and Toothprint Biometrics Using Ear Wearables / by Zi Wang	Ph.D. Florida State University 2022.	Computer science	https://purl.lib.fsu.edu/diginole/2022_Summer_Wang_fsu_0071E_17085	0
LB14.7	Wang, Min, author	Walk out or Stay Stuck : Education and Social Mobility of a Rural Village Cohort in China / by Min Wang	Ph.D. Florida State University 2022.	Education	https://purl.lib.fsu.edu/diginole/2022_Summer_Wang_fsu_0071E_17274	0
QA276.A2	Wang, Xiaolin, author	Hybrid Volatility Forecasting Models Based on Machine Learning of High-Frequency Data / by Xiaolin Wang	Ph.D. Florida State University 2022.	Statistics	https://purl.lib.fsu.edu/diginole/2022_Summer_Wang_fsu_0071E_17311	0
BF	Ward, Savanna K. (Savanna Kay), author	Sport Psychology Graduate Students' Experiences with Supervision Training / by Savanna K. Ward	Ph.D. Florida State University 2022.	Psychology	https://purl.lib.fsu.edu/diginole/2022_Summer_Ward_fsu_0071E_17463	0
GV713	White, Kristopher, author	Collegiate Sport as Biopolitical Dispositif : Excavating Black Collegiate Athletes' Educational Experiences / by Kristopher White	Ph.D. Florida State University 2022.	Sports administration	https://purl.lib.fsu.edu/diginole/2022_Summer_White_fsu_0071E_17316	0
AM	Woodruff, Anthony (Anthony Wayne), author	Creating Visitor-Centered Museum Experiences for Adults with Developmental Disabilities : A Collaborative Case Study / by Anthony Woodruff	Ph.D. Florida State University 2022.	Museums	https://purl.lib.fsu.edu/diginole/2022_Summer_Woodruff_fsu_0071E_17257	0
QA276.A2	Wu, Yuexuan, author	Computational Anatomy : Elastic Shape Analysis of Subcortical Structure Surfaces / by Yuexuan Wu	Ph.D. Florida State University 2022.	Statistics	https://purl.lib.fsu.edu/diginole/2022_Summer_Wu_fsu_0071E_17344	0
QC	Xiong, De-Lin, author	Search for Supersymmetry in the Monophoton Final State at CMS at a Center of Mass Energy of 13 TeV / by De-Lin Xiong	Ph.D. Florida State University 2022.	Physics	https://purl.lib.fsu.edu/diginole/2022_Summer_Xiong_fsu_0071E_17349	0
GV713	Xu, Yang, author	Exploring the Audiovisual Effects on Sport Viewer Satisfaction through the Lens of the Psychological Continuum Model / by Yang Xu	Ph.D. Florida State University 2022.	Sports administration	https://purl.lib.fsu.edu/diginole/2022_Summer_Xu_fsu_0071E_17393	0
TA160	Ahmadi, Mohammad Sadeq author	Assessing the Response of the Biscayne Aquifer Underlying Miami-Dade County to Climate Change and Sea Level Rise / by Mohammad Sadeq Ahmadi	M.S. Florida State University 2022.	Civil engineering	https://purl.lib.fsu.edu/diginole/Ahmadi_fsu_0071N_17614	0
MT	Allan, Amalia A. author	Ready for Inclusion? Elementary Music Teachers' Perceptions of Their Preparation to Teach Students with Disabilities / by Amalia A. Allan	Ph.D. Florida State University 2022.	Music	https://purl.lib.fsu.edu/diginole/Allan_fsu_0071E_17392	0
HM1001	Altgelt, Emma author	The Parts of a Romantic Partner : The Interactive Associations between Global Partner Attitudes, Partner Qualities, Attitudes Toward Those Qualities, and Partner-Directed Behaviors / by Emma Altgelt	Ph.D. Florida State University 2022.	Social psychology	https://purl.lib.fsu.edu/diginole/Altgelt_fsu_0071E_17603	4
QD31.3	Arabzadeh, Hesam author	Excursions in Molecular Simulations and Thermodynamics of Lanthanides with Crown Ethers / by Hesam Arabzadeh	Ph.D. Florida State University 2022.	Chemistry	https://purl.lib.fsu.edu/diginole/Arabzadeh_fsu_0071E_17539	0
QD151.3	Bai, Zhuanling author	Coordination Chemistry of Tetrazolate-Derived Ligands with Lanthanides and Actinides / by Zhuanling Bai	Ph.D. Florida State University 2022.	Chemistry, Inorganic	https://purl.lib.fsu.edu/diginole/Bai_fsu_0071E_17525	0
QP141	Barney, David Edmondson Jr., author	The Effects of a Prolonged Bout of Running on Hepcidin and Iron Homeostasis / by David Edmondson Barney, Jr	Ph.D. Florida State University 2022.	Nutrition	https://purl.lib.fsu.edu/diginole/Barney_fsu_0071E_17493	4
QH506	Bartlett, Daniel A. (Daniel Antony), author	Profiling the Mammilian Epigenome at Single-Cell Resolution / by Daniel A. Bartlett	Ph.D. Florida State University 2022.	Molecular biology	https://purl.lib.fsu.edu/diginole/Bartlett_fsu_0071E_17317	0
RC466.8	Bedford, Carter E. (Carter Elizabeth), author	Development and Evaluation of a Novel Safety Behavior Elimination Intervention for Symptoms of Posttraumatic Stress / by Carter E. Bedford	M.S. Florida State University 2022.	Clinical psychology	https://purl.lib.fsu.edu/diginole/Bedford_fsu_0071N_17569	0
M	Bell, Julia Anna author	21st-Century Works for Solo Trumpet by Women a Pedagogical Analysis / by Julia Anna Bell	D.M. Florida State University 2022.	Music	https://purl.lib.fsu.edu/diginole/Bell_fsu_0071E_17530	0
Q181	Bremer, Martin J. author	Qualitative Analysis of Teachers' Reasons for Selecting Environmental Professional Development and Responses to Environmental Professional Development / by Martin J. Bremer	Ph.D. Florida State University 2022.	Science	https://purl.lib.fsu.edu/diginole/Bremer_fsu_0071E_17430	0
